2024-06-16 20:37:16.721 WARN Main : WARN
2024-06-16 20:37:16.732 ERROR Main : ERROR
2024-06-16 20:37:16.733 FATAL Main : FATAL
2024-06-16 20:37:16.742 WARN Main : waiting for link to connect
2024-06-16 20:37:17.352 INFO osc.OscSynced : creating synced value for /composition/groups/1/video/effects/motionextraction/effect/delay
2024-06-16 20:37:17.352 INFO osc.OscSynced : creating synced value for /composition/groups/1/video/effects/automask/bypassed
2024-06-16 20:37:17.353 INFO osc.OscSynced : creating synced value for /resolume/1/motion_extraction/enabled
2024-06-16 20:37:17.356 INFO osc.OscSynced : creating synced value for /resolume/1/motion_extraction/delay
2024-06-16 20:37:17.360 INFO osc.OscSynced : creating synced value for /resolume/1/auto_mask
2024-06-16 20:37:17.368 INFO osc.OscSynced : creating synced value for /composition/groups/2/video/effects/motionextraction/bypassed
2024-06-16 20:37:17.368 INFO osc.OscSynced : creating synced value for /composition/groups/2/video/effects/motionextraction/effect/delay
2024-06-16 20:37:17.368 INFO osc.OscSynced : creating synced value for /composition/groups/2/video/effects/automask/bypassed
2024-06-16 20:37:17.368 INFO osc.OscSynced : creating synced value for /resolume/2/motion_extraction/enabled
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /resolume/2/motion_extraction/delay
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /resolume/2/auto_mask
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /composition/groups/3/video/effects/motionextraction/bypassed
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /composition/groups/3/video/effects/motionextraction/effect/delay
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /composition/groups/3/video/effects/automask/bypassed
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /resolume/3/motion_extraction/enabled
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /resolume/3/motion_extraction/delay
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /resolume/3/auto_mask
2024-06-16 20:37:17.370 INFO osc.OscSynced : creating synced value for /resolume/4/auto_mask
2024-06-16 20:37:17.370 INFO osc.OscSynced : creating synced value for /resolume/4/motion_extraction/delay
2024-06-16 20:37:17.370 INFO osc.OscSynced : creating synced value for /resolume/4/motion_extraction/enabled
2024-06-16 20:37:17.369 INFO osc.OscSynced : creating synced value for /composition/groups/4/video/effects/motionextraction/bypassed
2024-06-16 20:37:17.370 INFO osc.OscSynced : creating synced value for /composition/groups/4/video/effects/motionextraction/effect/delay
2024-06-16 20:37:17.370 INFO osc.OscSynced : creating synced value for /composition/groups/4/video/effects/automask/bypassed
2024-06-16 20:37:17.446 INFO osc.OSCUtil : creating buttons for group 1 layer 1 (1)
2024-06-16 20:37:17.447 INFO osc.OscSynced : creating synced value for /composition/layers/1/connectspecificclip
2024-06-16 20:37:17.450 INFO osc.OSCUtil : creating buttons for group 1 layer 2 (2)
2024-06-16 20:37:17.450 INFO osc.OscSynced : creating synced value for /composition/layers/2/connectspecificclip
